Month,t2.medium
10465,1159
10466,1159
10467,1159
10468,1159
10469,1159
10470,1159
10471,1159
10472,1159
10473,1159
10474,1159
10475,1159
10476,1159
10477,1159
10478,1159
10479,1159
10480,1159
10481,1159
10482,1159
10483,1159
10484,1159
10485,1159
10486,1159
10487,1159
10488,1159
10489,1159
10490,1159
10491,1159
10492,1159
10493,1159
10494,1159
10495,1159
10496,1159
10497,1159
10498,1159
10499,1159
10500,1159
10501,1159
10502,1159
10503,1159
10504,1159
10505,1159
10506,1159
10507,1159
10508,1159
10509,1159
10510,1159
10511,1159
10512,1159
10513,1159
10514,1159
10515,1159
10516,1159
10517,1159
10518,1159
10519,1159
10520,1159
10521,1159
10522,1159
10523,1159
10524,1159
10525,1159
10526,1159
10527,1159
10528,1159
10529,1159
10530,1159
10531,1159
10532,1159
10533,1159
10534,1159
10535,1159
10536,1159
10537,1159
10538,1159
10539,1159
10540,1159
10541,1159
10542,1159
10543,1159
10544,1159
10545,1159
10546,1159
10547,1159
10548,1159
10549,1159
10550,1159
10551,1159
10552,1159
10553,1159
10554,1159
10555,1159
10556,1159
10557,1159
10558,1159
10559,1159
10560,1159
10561,1159
10562,1159
10563,1159
10564,1159
10565,1159
10566,1159
10567,1159
10568,1159
10569,1159
10570,1159
10571,1159
10572,1159
10573,1159
10574,1159
10575,1159
10576,1159
10577,1159
10578,1159
10579,1159
10580,1159
10581,1159
10582,1159
10583,1159
10584,1159
10585,1159
10586,1159
10587,1159
10588,1159
10589,1159
10590,1159
10591,1159
10592,1159
10593,1159
10594,1159
10595,1159
10596,1159
10597,1159
10598,1159
10599,1159
10600,1159
10601,1159
10602,1159
10603,1159
10604,1159
10605,1159
10606,1159
10607,1159
10608,1159
10609,1159
10610,1159
10611,1159
10612,1159
10613,1159
10614,1159
10615,1159
10616,1159
10617,1159
10618,1159
10619,1159
10620,1159
10621,1159
10622,1159
10623,1159
10624,1159
10625,1159
10626,1159
10627,1159
10628,1159
10629,1159
10630,1159
10631,1159
10632,1159
10633,1159
10634,1159
10635,1159
10636,1159
10637,1159
10638,1159
10639,1159
10640,1159
10641,1159
10642,1159
10643,1159
10644,1159
10645,1159
10646,1159
10647,1159
10648,1159
10649,1159
10650,1159
10651,1159
10652,1159
10653,1159
10654,1159
10655,1159
10656,1159
10657,1159
10658,1159
10659,1159
10660,1159
10661,1159
10662,1159
10663,1159
10664,1159
10665,1159
10666,1159
10667,1159
10668,1159
10669,1159
10670,1159
10671,1159
10672,1159
10673,1159
10674,1159
10675,1159
10676,1159
10677,1159
10678,1159
10679,1159
10680,1159
10681,1159
10682,1159
10683,1159
10684,1159
10685,1159
10686,1159
10687,1159
10688,1159
10689,1159
10690,1159
10691,1159
10692,1159
10693,1159
10694,1159
10695,1159
10696,1159
10697,1159
10698,1159
10699,1159
10700,1159
10701,1159
10702,1159
10703,1159
10704,1159
10705,1159
10706,1159
10707,1159
10708,1159
10709,1159
10710,1159
10711,1159
10712,1159
10713,1159
10714,1159
10715,1159
10716,1159
10717,1159
10718,1159
10719,1159
10720,1159
10721,1159
10722,1159
10723,1159
10724,1159
10725,1159
10726,1159
10727,1159
10728,1159
10729,1159
10730,1159
10731,1159
10732,1159
10733,1159
10734,1159
10735,1159
10736,1159
10737,1159
10738,1159
10739,1159
10740,1159
10741,1159
10742,1159
10743,1159
10744,991
10745,991
10746,991
10747,991
10748,991
10749,991
10750,991
10751,991
10752,991
10753,991
10754,991
10755,991
10756,991
10757,991
10758,991
10759,991
10760,991
10761,991
10762,991
10763,991
10764,991
10765,991
10766,991
10767,991
10768,991
10769,991
10770,991
